"","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP"
"2874",94538,"Alameda County","CA",6001,"H1"
"2875",94588,"Alameda County","CA",6001,"H1"
"2876",94621,"Alameda County","CA",6001,"H1"
"2877",94720,"Alameda County","CA",6001,"H1"
"2878",94704,"Alameda County","CA",6001,"H1"
"2879",95377,"Alameda County","CA",6001,"H1"
"2880",94514,"Alameda County","CA",6001,"H1"
"2881",94615,"Alameda County","CA",6001,"H1"
"2882",94613,"Alameda County","CA",6001,"H1"
"2883",94537,"Alameda County","CA",6001,"H1"
"2884",94578,"Alameda County","CA",6001,"H1"
"2885",94606,"Alameda County","CA",6001,"H1"
"2886",94610,"Alameda County","CA",6001,"H1"
"2887",94620,"Alameda County","CA",6001,"H1"
"2888",94608,"Alameda County","CA",6001,"H1"
"2889",94662,"Alameda County","CA",6001,"H1"
"2890",94707,"Alameda County","CA",6001,"H1"
"2891",94708,"Alameda County","CA",6001,"H1"
"2892",95391,"Alameda County","CA",6001,"H1"
"2893",95035,"Alameda County","CA",6001,"H1"
"2894",94501,"Alameda County","CA",6001,"H1"
"2895",94546,"Alameda County","CA",6001,"H1"
"2896",94543,"Alameda County","CA",6001,"H1"
"2897",94580,"Alameda County","CA",6001,"H1"
"2898",94555,"Alameda County","CA",6001,"H1"
"2899",94703,"Alameda County","CA",6001,"H1"
"2900",94612,"Alameda County","CA",6001,"H1"
"2901",94710,"Alameda County","CA",6001,"H1"
"2902",94505,"Alameda County","CA",6001,"H1"
"2903",94624,"Alameda County","CA",6001,"H1"
"2904",94666,"Alameda County","CA",6001,"H1"
"2905",94544,"Alameda County","CA",6001,"H1"
"2906",94568,"Alameda County","CA",6001,"H1"
"2907",94579,"Alameda County","CA",6001,"H1"
"2908",94705,"Alameda County","CA",6001,"H1"
"2909",94614,"Alameda County","CA",6001,"H1"
"2910",94701,"Alameda County","CA",6001,"H1"
"2911",94536,"Alameda County","CA",6001,"H1"
"2912",94587,"Alameda County","CA",6001,"H1"
"2913",94566,"Alameda County","CA",6001,"H1"
"2914",94609,"Alameda County","CA",6001,"H1"
"2915",94611,"Alameda County","CA",6001,"H1"
"2916",94545,"Alameda County","CA",6001,"H1"
"2917",94577,"Alameda County","CA",6001,"H1"
"2918",94551,"Alameda County","CA",6001,"H1"
"2919",94602,"Alameda County","CA",6001,"H1"
"2920",94605,"Alameda County","CA",6001,"H1"
"2921",94709,"Alameda County","CA",6001,"H1"
"2922",94618,"Alameda County","CA",6001,"H1"
"2923",94623,"Alameda County","CA",6001,"H1"
"2924",94586,"Alameda County","CA",6001,"H1"
"2925",94712,"Alameda County","CA",6001,"H1"
"2926",94661,"Alameda County","CA",6001,"H1"
"2927",94541,"Alameda County","CA",6001,"H1"
"2928",94502,"Alameda County","CA",6001,"H1"
"2929",94542,"Alameda County","CA",6001,"H1"
"2930",94550,"Alameda County","CA",6001,"H1"
"2931",94552,"Alameda County","CA",6001,"H1"
"2932",94702,"Alameda County","CA",6001,"H1"
"2933",94706,"Alameda County","CA",6001,"H1"
"2934",94603,"Alameda County","CA",6001,"H1"
"2935",94604,"Alameda County","CA",6001,"H1"
"2936",94539,"Alameda County","CA",6001,"H1"
"2937",94540,"Alameda County","CA",6001,"H1"
"2938",94560,"Alameda County","CA",6001,"H1"
"2939",94619,"Alameda County","CA",6001,"H1"
"2940",94601,"Alameda County","CA",6001,"H1"
"2941",94607,"Alameda County","CA",6001,"H1"
"2942",94557,"Alameda County","CA",6001,"H1"
"2943",95223,"Alpine County","CA",6003,"H1"
"2944",96120,"Alpine County","CA",6003,"H1"
"2945",95665,"Amador County","CA",6005,"H1"
"2946",95675,"Amador County","CA",6005,"H1"
"2947",95685,"Amador County","CA",6005,"H1"
"2948",95666,"Amador County","CA",6005,"H1"
"2949",95640,"Amador County","CA",6005,"H1"
"2950",95689,"Amador County","CA",6005,"H1"
"2951",95642,"Amador County","CA",6005,"H1"
"2952",95629,"Amador County","CA",6005,"H1"
"2953",95601,"Amador County","CA",6005,"H1"
"2954",95654,"Amador County","CA",6005,"H1"
"2955",95669,"Amador County","CA",6005,"H1"
"2956",95699,"Amador County","CA",6005,"H1"
"2957",95646,"Amador County","CA",6005,"H1"
"2958",95901,"Butte County","CA",6007,"H1"
"2959",95929,"Butte County","CA",6007,"H1"
"2960",95940,"Butte County","CA",6007,"H1"
"2961",95928,"Butte County","CA",6007,"H1"
"2962",95954,"Butte County","CA",6007,"H1"
"2963",95914,"Butte County","CA",6007,"H1"
"2964",95958,"Butte County","CA",6007,"H1"
"2965",95927,"Butte County","CA",6007,"H1"
"2966",95967,"Butte County","CA",6007,"H1"
"2967",95942,"Butte County","CA",6007,"H1"
"2968",95978,"Butte County","CA",6007,"H1"
"2969",95973,"Butte County","CA",6007,"H1"
"2970",95916,"Butte County","CA",6007,"H1"
"2971",95917,"Butte County","CA",6007,"H1"
"2972",95930,"Butte County","CA",6007,"H1"
"2973",95965,"Butte County","CA",6007,"H1"
"2974",95941,"Butte County","CA",6007,"H1"
"2975",95976,"Butte County","CA",6007,"H1"
"2976",95926,"Butte County","CA",6007,"H1"
"2977",95938,"Butte County","CA",6007,"H1"
"2978",95968,"Butte County","CA",6007,"H1"
"2979",95974,"Butte County","CA",6007,"H1"
"2980",95969,"Butte County","CA",6007,"H1"
"2981",95966,"Butte County","CA",6007,"H1"
"2982",95948,"Butte County","CA",6007,"H1"
"2983",95252,"Calaveras County","CA",6009,"H1"
"2984",95233,"Calaveras County","CA",6009,"H1"
"2985",95224,"Calaveras County","CA",6009,"H1"
"2986",95249,"Calaveras County","CA",6009,"H1"
"2987",95247,"Calaveras County","CA",6009,"H1"
